frequency,intensity
0.0,6.352420563040285
1.0,4.6272501035673335
2.0,5.026256130942867
3.0,5.326013026397206
4.0,4.368861577099409
5.0,5.001652458324759
6.0,4.999287691313655
7.0,3.596220554923663
8.0,5.8141264045307945
9.0,5.48039881273564
10.0,4.499656820826592
11.0,4.862761391043423
12.0,5.404239499357401
13.0,4.790914867846682
14.0,4.805800737061963
15.0,3.837406870007367
16.0,5.44366424951351
17.0,5.099104724229631
18.0,5.219567939007971
19.0,3.7787803745041275
20.0,6.320559752949181
21.0,5.123468428365086
22.0,4.69028804537089
23.0,6.62325777660889
24.0,4.9636911761114835
25.0,3.83945704068274
26.0,4.675817715657851
27.0,3.1693479184226216
28.0,5.8395172394746035
29.0,4.6668205451839855
30.0,4.405957179836346
31.0,5.857976105260397
32.0,3.6791395284753285
33.0,5.428343485060873
34.0,3.3484681575030595
35.0,4.470272528266553
36.0,4.036624123520214
37.0,6.169580501770819
38.0,6.412928702343467
39.0,4.736468998469548
40.0,5.672586593714828
41.0,4.85601087899812
42.0,5.4544495098623855
43.0,4.397730242862828
44.0,3.633328637466355
45.0,3.557521073216207
46.0,5.3064974814060095
47.0,6.7980760422461595
48.0,5.21552930440631
49.0,4.580316304479318
50.0,6.529615089865553
51.0,5.1898414773097565
52.0,5.081147188169319
53.0,5.202062188444725
54.0,4.894098241953844
55.0,4.752418927628951
56.0,3.8520292283750317
57.0,5.401299311286878
58.0,4.924179758401599
59.0,5.954469712099811
60.0,4.704952260450815
61.0,3.4749488170136904
62.0,4.920561718350632
63.0,6.36086226817278
64.0,4.698604704164208
65.0,4.308505863570033
66.0,4.113627274400805
67.0,4.36254516092518
68.0,5.287088214040759
69.0,5.2640411225082095
70.0,8.634504847491721
71.0,9.099265274313549
72.0,11.846270903215625
73.0,15.448640763185997
74.0,17.461241964962824
75.0,16.829813626385953
76.0,16.524166521020092
77.0,14.886070414100878
78.0,11.605067837740016
79.0,7.9029631808070455
80.0,7.9601581179761425
81.0,6.9235086411312
82.0,5.859645294919298
83.0,4.463722884414905
84.0,4.91167896236098
85.0,4.547775497296122
86.0,4.765574212647156
87.0,6.038740584956774
88.0,6.223913930581047
89.0,5.5355792745657935
90.0,5.439003131031757
91.0,5.5413041658693105
92.0,4.9902063694683605
93.0,4.939469243552392
94.0,4.461083851302616
95.0,4.9553060400599955
96.0,6.807957589308331
97.0,5.695231463403532
98.0,4.726306381258536
99.0,4.622458678293184
100.0,4.308408006731403
101.0,5.299496279790061
102.0,5.313236554802065
103.0,3.845502674399249
104.0,5.3890681577933615
105.0,4.544422183585202
106.0,6.141376925319069
107.0,5.125475186963347
108.0,6.374184039728188
109.0,4.633498565691193
110.0,4.769612906783375
111.0,5.23984668181592
112.0,5.844758639331631
113.0,5.452705990901925
114.0,4.013180845017949
115.0,5.146320561291813
116.0,5.017795790832448
117.0,4.656745125155206
118.0,4.481515765686112
119.0,6.3980617914789155
120.0,4.6876908149107495
121.0,4.323261890297754
122.0,5.509690266249953
123.0,5.104498381809803
124.0,4.939348906955269
125.0,5.625041448840439
126.0,5.390900332714727
127.0,5.289752000767556
128.0,5.771360387582582
129.0,5.2269091397184555
130.0,4.506462446220051
131.0,4.710174259047954
132.0,4.583222418212606
133.0,5.167779415351346
134.0,4.137621937945803
135.0,3.534108664369789
136.0,5.070747472735724
137.0,3.9316943806703457
138.0,3.4417620275622065
139.0,5.309731865512703
140.0,4.464160530564219
141.0,5.4855910085738735
142.0,4.790104682467047
143.0,4.571188288612737
144.0,4.927112800938912
145.0,6.222058327853921
146.0,7.3911451636649765
147.0,8.097767880988435
148.0,9.647787969808078
149.0,9.466925406828027
150.0,11.011591155981021
151.0,9.260888250357704
152.0,9.717589246495429
153.0,9.31437123602505
154.0,8.48340245045746
155.0,8.005504303512163
156.0,4.676896694544771
157.0,6.075738359620789
158.0,6.179813439299436
159.0,5.873136258652986
160.0,4.289544035378061
161.0,5.340504703352136
162.0,6.491389044180023
163.0,3.803091906749625
164.0,5.381293693262809
165.0,5.889881826279916
166.0,4.442737040819485
167.0,5.46637801239883
168.0,4.143286280060159
169.0,4.3502331766383415
170.0,4.346335808029352
171.0,5.1538461597057585
172.0,4.92721498724324
173.0,5.763292166184334
174.0,4.247776708609426
175.0,4.894979479926047
176.0,5.768861170890808
177.0,5.448621737787956
178.0,3.940286931535015
179.0,5.532162947966169
180.0,4.617265696156347
181.0,5.30830923031572
182.0,5.2405443320183265
183.0,5.975455107174903
184.0,5.093247951788295
185.0,3.5169553027938347
186.0,3.9041122248166444
187.0,5.584923508341912
188.0,4.793346933409911
189.0,5.9103832480752505
190.0,5.218751054344821
191.0,4.400747411243596
192.0,5.865925407778749
193.0,4.354081854778345
194.0,3.357891593394284
195.0,6.65103644096701
196.0,3.4714008987647778
197.0,5.509130293057172
198.0,5.7510814520304905
199.0,5.117652903701791
